# Position(Steps)	Detector(cnts):	
0.000000000000000000e+00 1.991000000000000000e+03
1.500000000000000000e+05 1.954000000000000000e+03
3.000000000000000000e+05 1.913000000000000000e+03
4.500000000000000000e+05 1.887000000000000000e+03
6.000000000000000000e+05 1.803000000000000000e+03
7.500000000000000000e+05 1.805000000000000000e+03
9.000000000000000000e+05 1.884000000000000000e+03
1.050000000000000000e+06 1.858000000000000000e+03
1.200000000000000000e+06 1.970000000000000000e+03
1.350000000000000000e+06 1.917000000000000000e+03
1.500000000000000000e+06 1.929000000000000000e+03
1.650000000000000000e+06 2.092000000000000000e+03
1.800000000000000000e+06 2.169000000000000000e+03
1.950000000000000000e+06 2.265000000000000000e+03
2.100000000000000000e+06 2.274000000000000000e+03
2.250000000000000000e+06 2.196000000000000000e+03
2.400000000000000000e+06 2.312000000000000000e+03
2.550000000000000000e+06 2.207000000000000000e+03
2.700000000000000000e+06 2.237000000000000000e+03
2.850000000000000000e+06 2.109000000000000000e+03
3.000000000000000000e+06 2.092000000000000000e+03
